date,star,asset,buy,sell
2020-01-01,Reef,StarGems,978.14,945.32
2020-01-01,Reef,Uranium,538.35,518.87
2020-01-01,Sand,Equipment,6.86,6.77
2020-01-01,Sand,Medicine,38.78,37.58
2020-01-01,Sand,Metals,3.14,3.06
2020-01-01,Sand,Software,18.09,17.58
2020-01-01,Sand,StarGems,1059.94,1031.27
2020-01-01,Sand,Uranium,495.74,479.02
2020-01-01,Sink,Equipment,7.16,6.95
2020-01-01,Sink,Medicine,39.58,38.57
2020-01-01,Sink,Metals,3.12,3.07
2020-01-01,Sink,Software,21.53,21.03
2020-01-01,Sink,StarGems,962.88,952.92
2020-01-01,Sink,Uranium,548.4,537.27
2020-01-01,Stan,Equipment,7.29,7.07
2020-01-01,Stan,Medicine,42.15,41.29
2020-01-01,Stan,Metals,3.39,3.26
2020-01-01,Stan,Software,21.26,20.84
2020-01-01,Stan,StarGems,1115.82,1090.36
2020-01-01,Stan,Uranium,510.14,493.99
2020-01-01,Task,Equipment,6.84,6.58
2020-01-01,Task,Medicine,40.42,39.57
2020-01-01,Task,Metals,3.01,2.92
2020-01-01,Task,Software,18.93,18.57
2020-01-01,Task,StarGems,1025.62,1001.55
2020-01-01,Task,Uranium,486.34,477.36
2020-01-01,York,Equipment,7.09,7.05
2020-01-01,York,Medicine,38.45,37.86
2020-01-01,York,Metals,2.98,2.92
2020-01-01,York,Software,20.79,20.09
2020-01-01,York,StarGems,1116.48,1080.58
2020-01-01,York,Uranium,507.91,494.66
2020-01-02,Sol,Equipment,7.33,7.23
2020-01-02,Sol,Medicine,46.28,45.0
2020-01-02,Sol,Metals,3.48,3.36
2020-01-02,Sol,Software,21.15,20.57
2020-01-02,Sol,StarGems,1105.73,1070.0
2020-01-02,Sol,Uranium,516.19,505.22
2020-01-02,Boyd,Equipment,6.73,6.44
2020-01-02,Boyd,Medicine,42.41,41.26
2020-01-02,Boyd,Metals,3.3,3.22
2020-01-02,Boyd,Software,18.83,18.36
2020-01-02,Boyd,StarGems,1002.61,988.51
2020-01-02,Boyd,Uranium,484.42,473.94
2020-01-02,Fate,Equipment,7.29,7.09
2020-01-02,Fate,Medicine,35.11,34.73
2020-01-02,Fate,Metals,2.96,2.9
2020-01-02,Fate,Software,20.28,19.96
2020-01-02,Fate,StarGems,957.59,936.56
2020-01-02,Fate,Uranium,553.91,543.38
2020-01-02,Gaol,Equipment,6.94,6.69
2020-01-02,Gaol,Medicine,43.33,42.08
2020-01-02,Gaol,Metals,3.0,2.88
2020-01-02,Gaol,Software,22.31,21.55
2020-01-02,Gaol,StarGems,1135.82,1118.06
2020-01-02,Gaol,Uranium,513.7,500.33
2020-01-02,Hook,Equipment,5.93,5.79
2020-01-02,Hook,Medicine,41.45,40.68
2020-01-02,Hook,Metals,3.15,3.08
2020-01-02,Hook,Software,21.74,21.22
2020-01-02,Hook,StarGems,973.39,946.75
2020-01-02,Hook,Uranium,591.51,574.47
2020-01-02,Ivan,Equipment,6.88,6.64
2020-01-02,Ivan,Medicine,39.2,38.23
2020-01-02,Ivan,Metals,3.13,3.06
2020-01-02,Ivan,Software,20.9,20.37
2020-01-02,Ivan,StarGems,1201.86,1172.87
2020-01-02,Ivan,Uranium,513.75,508.22
2020-01-02,Kirk,Equipment,6.92,6.72
2020-01-02,Kirk,Medicine,39.93,39.11
2020-01-02,Kirk,Metals,2.86,2.84
2020-01-02,Kirk,Software,19.05,18.95
2020-01-02,Kirk,StarGems,1069.81,1044.17
2020-01-02,Kirk,Uranium,501.07,493.26
2020-01-02,Kris,Equipment,7.72,7.58
2020-01-02,Kris,Medicine,36.25,35.95
2020-01-02,Kris,Metals,3.25,3.18
2020-01-02,Kris,Software,21.27,20.71
2020-01-02,Kris,StarGems,1103.37,1078.22
2020-01-02,Kris,Uranium,498.5,487.44
2020-01-02,Quin,Equipment,6.63,6.54
2020-01-02,Quin,Medicine,40.44,39.36
2020-01-02,Quin,Metals,3.3,3.19
2020-01-02,Quin,Software,20.22,19.98
2020-01-02,Quin,StarGems,1008.46,982.84
2020-01-02,Quin,Uranium,467.6,457.66
2020-01-02,Reef,Equipment,6.75,6.63
2020-01-02,Reef,Medicine,40.84,39.77
2020-01-02,Reef,Metals,3.11,3.04
2020-01-02,Reef,Software,20.83,20.18
2020-01-02,Reef,StarGems,963.59,935.31
2020-01-02,Reef,Uranium,501.8,488.4
2020-01-02,Sand,Equipment,7.0,6.78
2020-01-02,Sand,Medicine,37.79,36.78
2020-01-02,Sand,Metals,3.06,3.0
2020-01-02,Sand,Software,17.72,17.36
2020-01-02,Sand,StarGems,1071.91,1046.38
2020-01-02,Sand,Uranium,484.24,467.8
2020-01-02,Sink,Equipment,7.06,6.75
2020-01-02,Sink,Medicine,39.6,39.06
2020-01-02,Sink,Metals,3.22,3.12
2020-01-02,Sink,Software,21.24,20.62
2020-01-02,Sink,StarGems,982.96,963.63
2020-01-02,Sink,Uranium,544.1,534.14
2020-01-02,Stan,Equipment,7.22,7.11
2020-01-02,Stan,Medicine,41.46,40.25
2020-01-02,Stan,Metals,3.37,3.32
2020-01-02,Stan,Software,22.01,21.35
2020-01-02,Stan,StarGems,1138.88,1104.25
2020-01-02,Stan,Uranium,510.82,499.5
2020-01-02,Task,Equipment,6.16,6.08
2020-01-02,Task,Medicine,40.97,39.78
2020-01-02,Task,Metals,3.0,2.92
2020-01-02,Task,Software,18.85,18.52
2020-01-02,Task,StarGems,1016.95,988.92
2020-01-02,Task,Uranium,497.35,477.89
2020-01-02,York,Equipment,7.19,7.1
2020-01-02,York,Medicine,38.76,37.66
2020-01-02,York,Metals,2.95,2.89
2020-01-02,York,Software,20.9,20.59
2020-01-02,York,StarGems,1063.43,1056.69
2020-01-02,York,Uranium,520.3,504.85
2020-01-03,Sol,Equipment,7.52,7.25
2020-01-03,Sol,Medicine,45.82,44.28
2020-01-03,Sol,Metals,3.4,3.34
2020-01-03,Sol,Software,20.7,20.2
2020-01-03,Sol,StarGems,1106.08,1084.45
2020-01-03,Sol,Uranium,513.87,508.73
2020-01-03,Boyd,Equipment,6.55,6.37
2020-01-03,Boyd,Medicine,41.82,40.35
2020-01-03,Boyd,Metals,3.35,3.24
2020-01-03,Boyd,Software,19.46,18.71
2020-01-03,Boyd,StarGems,1001.9,986.26
2020-01-03,Boyd,Uranium,495.51,477.91
2020-01-03,Fate,Equipment,7.23,7.04
2020-01-03,Fate,Medicine,35.77,34.77
2020-01-03,Fate,Metals,2.94,2.88
2020-01-03,Fate,Software,20.76,20.07
2020-01-03,Fate,StarGems,925.48,908.28
2020-01-03,Fate,Uranium,566.99,550.38
2020-01-03,Gaol,Equipment,6.8,6.66
2020-01-03,Gaol,Medicine,43.51,42.38
2020-01-03,Gaol,Metals,2.96,2.87
2020-01-03,Gaol,Software,22.27,21.69
2020-01-03,Gaol,StarGems,1124.1,1094.08
2020-01-03,Gaol,Uranium,527.29,512.23
2020-01-03,Hook,Equipment,5.72,5.59
2020-01-03,Hook,Medicine,40.68,39.83
2020-01-03,Hook,Metals,3.2,3.1
2020-01-03,Hook,Software,22.12,21.85
2020-01-03,Hook,StarGems,979.69,952.01
2020-01-03,Hook,Uranium,592.02,571.62
2020-01-03,Ivan,Equipment,6.66,6.45
2020-01-03,Ivan,Medicine,39.36,38.08
2020-01-03,Ivan,Metals,3.13,3.06
2020-01-03,Ivan,Software,21.85,21.05
2020-01-03,Ivan,StarGems,1210.76,1187.46
2020-01-03,Ivan,Uranium,505.47,492.68
2020-01-03,Kirk,Equipment,7.29,7.0
2020-01-03,Kirk,Medicine,40.04,38.8
2020-01-03,Kirk,Metals,2.88,2.79
2020-01-03,Kirk,Software,19.88,19.51
2020-01-03,Kirk,StarGems,1066.48,1043.13
2020-01-03,Kirk,Uranium,513.09,489.64
2020-01-03,Kris,Equipment,7.81,7.61
2020-01-03,Kris,Medicine,38.01,36.56
2020-01-03,Kris,Metals,3.34,3.25
2020-01-03,Kris,Software,20.66,20.14
2020-01-03,Kris,StarGems,1158.26,1121.31
2020-01-03,Kris,Uranium,512.67,496.67
2020-01-03,Quin,Equipment,6.67,6.49
2020-01-03,Quin,Medicine,39.14,38.72
2020-01-03,Quin,Metals,3.23,3.12
2020-01-03,Quin,Software,20.73,20.03
2020-01-03,Quin,StarGems,1000.07,970.1
2020-01-03,Quin,Uranium,463.01,450.66
2020-01-03,Reef,Equipment,6.91,6.74
2020-01-03,Reef,Medicine,41.35,40.06
2020-01-03,Reef,Metals,3.08,3.02
2020-01-03,Reef,Software,20.94,20.47
2020-01-03,Reef,StarGems,983.83,960.89
2020-01-03,Reef,Uranium,494.44,477.71
2020-01-03,Sand,Equipment,6.96,6.7
2020-01-03,Sand,Medicine,38.71,37.47
2020-01-03,Sand,Metals,3.13,3.04
2020-01-03,Sand,Software,17.69,17.44
2020-01-03,Sand,StarGems,1103.53,1070.7
2020-01-03,Sand,Uranium,467.97,457.62
2020-01-03,Sink,Equipment,6.73,6.55
2020-01-03,Sink,Medicine,38.69,38.39
2020-01-03,Sink,Metals,3.22,3.13
2020-01-03,Sink,Software,20.73,20.3
2020-01-03,Sink,StarGems,960.42,954.24
2020-01-03,Sink,Uranium,536.6,523.72
2020-01-03,Stan,Equipment,7.15,7.02
2020-01-03,Stan,Medicine,40.52,39.44
2020-01-03,Stan,Metals,3.45,3.34
2020-01-03,Stan,Software,22.04,21.68
2020-01-03,Stan,StarGems,1121.27,1093.64
2020-01-03,Stan,Uranium,509.21,497.43
2020-01-03,Task,Equipment,6.16,6.01
2020-01-03,Task,Medicine,41.11,40.2
2020-01-03,Task,Metals,2.98,2.92
2020-01-03,Task,Software,19.71,19.11
2020-01-03,Task,StarGems,992.15,967.26
2020-01-03,Task,Uranium,487.02,481.35
2020-01-03,York,Equipment,7.28,7.17
2020-01-03,York,Medicine,38.3,37.38
2020-01-03,York,Metals,2.98,2.92
2020-01-03,York,Software,20.62,20.0
2020-01-03,York,StarGems,1125.77,1101.47
2020-01-03,York,Uranium,509.29,491.3
2020-01-04,Sol,Equipment,7.56,7.38
2020-01-04,Sol,Medicine,44.22,43.29
2020-01-04,Sol,Metals,3.5,3.42
2020-01-04,Sol,Software,20.43,20.04
2020-01-04,Sol,StarGems,1099.01,1087.88
2020-01-04,Sol,Uranium,521.47,509.28
2020-01-04,Boyd,Equipment,6.69,6.51
2020-01-04,Boyd,Medicine,40.65,40.09
2020-01-04,Boyd,Metals,3.1,3.05
2020-01-04,Boyd,Software,18.98,18.43
2020-01-04,Boyd,StarGems,1018.28,989.88
2020-01-04,Boyd,Uranium,482.71,473.7
2020-01-04,Fate,Equipment,7.36,7.14
2020-01-04,Fate,Medicine,36.87,35.48
2020-01-04,Fate,Metals,2.94,2.87
2020-01-04,Fate,Software,20.18,19.47
2020-01-04,Fate,StarGems,959.34,933.43
2020-01-04,Fate,Uranium,579.05,562.3
2020-01-04,Gaol,Equipment,6.8,6.62
2020-01-04,Gaol,Medicine,45.95,44.17
2020-01-04,Gaol,Metals,2.95,2.85
2020-01-04,Gaol,Software,21.74,21.19
2020-01-04,Gaol,StarGems,1129.86,1090.67
2020-01-04,Gaol,Uranium,539.58,523.27
2020-01-04,Hook,Equipment,5.65,5.48
2020-01-04,Hook,Medicine,42.35,41.39
2020-01-04,Hook,Metals,3.08,3.04
2020-01-04,Hook,Software,22.74,22.26
2020-01-04,Hook,StarGems,983.8,962.38
2020-01-04,Hook,Uranium,582.93,569.86
2020-01-04,Ivan,Equipment,6.82,6.59
2020-01-04,Ivan,Medicine,37.8,36.94
2020-01-04,Ivan,Metals,3.27,3.14
2020-01-04,Ivan,Software,21.56,21.03
2020-01-04,Ivan,StarGems,1204.44,1174.58
2020-01-04,Ivan,Uranium,516.65,500.06
2020-01-04,Kirk,Equipment,7.37,7.14
2020-01-04,Kirk,Medicine,40.31,39.4
2020-01-04,Kirk,Metals,3.0,2.9
2020-01-04,Kirk,Software,20.55,19.93
2020-01-04,Kirk,StarGems,1096.38,1069.91
2020-01-04,Kirk,Uranium,500.51,484.35
2020-01-04,Kris,Equipment,7.84,7.63
2020-01-04,Kris,Medicine,37.82,36.97
2020-01-04,Kris,Metals,3.29,3.25
2020-01-04,Kris,Software,20.69,20.27
2020-01-04,Kris,StarGems,1178.51,1130.87
2020-01-04,Kris,Uranium,518.41,505.06
2020-01-04,Quin,Equipment,6.66,6.47
2020-01-04,Quin,Medicine,39.42,38.45
2020-01-04,Quin,Metals,3.16,3.07
2020-01-04,Quin,Software,20.21,19.67
2020-01-04,Quin,StarGems,1017.27,992.85
2020-01-04,Quin,Uranium,461.92,449.9
2020-01-04,Reef,Equipment,7.02,6.84
2020-01-04,Reef,Medicine,39.42,39.02
2020-01-04,Reef,Metals,2.99,2.9
2020-01-04,Reef,Software,20.52,20.04
2020-01-04,Reef,StarGems,1017.19,982.93
2020-01-04,Reef,Uranium,499.84,487.92
2020-01-04,Sand,Equipment,6.97,6.75
2020-01-04,Sand,Medicine,37.76,36.87
2020-01-04,Sand,Metals,3.09,3.03
2020-01-04,Sand,Software,18.0,17.33
2020-01-04,Sand,StarGems,1096.98,1063.32
2020-01-04,Sand,Uranium,446.61,434.68
2020-01-04,Sink,Equipment,6.7,6.44
2020-01-04,Sink,Medicine,39.36,38.24
2020-01-04,Sink,Metals,3.29,3.22
2020-01-04,Sink,Software,20.94,20.36
2020-01-04,Sink,StarGems,1000.64,980.98
2020-01-04,Sink,Uranium,536.63,519.6
2020-01-04,Stan,Equipment,7.28,6.99
2020-01-04,Stan,Medicine,36.95,36.37
2020-01-04,Stan,Metals,3.49,3.37
2020-01-04,Stan,Software,22.54,21.92
2020-01-04,Stan,StarGems,1180.93,1132.22
2020-01-04,Stan,Uranium,504.22,492.59
2020-01-04,Task,Equipment,6.14,6.02
2020-01-04,Task,Medicine,40.64,39.64
2020-01-04,Task,Metals,2.92,2.85
2020-01-04,Task,Software,19.19,18.84
2020-01-04,Task,StarGems,1005.95,960.58
2020-01-04,Task,Uranium,500.74,494.4
2020-01-04,York,Equipment,7.37,7.17
2020-01-04,York,Medicine,37.69,36.79
2020-01-04,York,Metals,2.97,2.93
2020-01-04,York,Software,20.95,20.08
2020-01-04,York,StarGems,1110.19,1086.57
2020-01-04,York,Uranium,515.93,502.53
2020-01-05,Sol,Equipment,7.24,7.11
2020-01-05,Sol,Medicine,44.09,43.1
2020-01-05,Sol,Metals,3.51,3.46
2020-01-05,Sol,Software,19.93,19.5
2020-01-05,Sol,StarGems,1129.79,1095.74
2020-01-05,Sol,Uranium,538.32,522.45
2020-01-05,Boyd,Equipment,6.72,6.56
2020-01-05,Boyd,Medicine,39.2,38.73
2020-01-05,Boyd,Metals,3.08,3.0
2020-01-05,Boyd,Software,19.52,18.88
2020-01-05,Boyd,StarGems,1041.77,995.79
2020-01-05,Boyd,Uranium,487.8,473.61
2020-01-05,Fate,Equipment,7.38,7.21
2020-01-05,Fate,Medicine,37.0,35.99
2020-01-05,Fate,Metals,2.92,2.83
2020-01-05,Fate,Software,19.88,19.36
2020-01-05,Fate,StarGems,964.0,936.09
2020-01-05,Fate,Uranium,576.04,556.19
2020-01-05,Gaol,Equipment,6.76,6.6
2020-01-05,Gaol,Medicine,47.22,45.32
2020-01-05,Gaol,Metals,2.86,2.79
2020-01-05,Gaol,Software,22.46,22.01
2020-01-05,Gaol,StarGems,1162.73,1131.66
2020-01-05,Gaol,Uranium,515.31,505.34
2020-01-05,Hook,Equipment,5.67,5.47
2020-01-05,Hook,Medicine,42.58,41.67
2020-01-05,Hook,Metals,3.08,2.99
2020-01-05,Hook,Software,22.38,21.93
2020-01-05,Hook,StarGems,982.8,957.81
2020-01-05,Hook,Uranium,587.12,578.28
2020-01-05,Ivan,Equipment,6.75,6.53
2020-01-05,Ivan,Medicine,39.13,38.29
2020-01-05,Ivan,Metals,3.26,3.16
2020-01-05,Ivan,Software,21.49,20.98
2020-01-05,Ivan,StarGems,1228.73,1208.62
2020-01-05,Ivan,Uranium,524.92,506.33
2020-01-05,Kirk,Equipment,7.38,7.2
2020-01-05,Kirk,Medicine,40.07,39.14
2020-01-05,Kirk,Metals,3.1,3.0
2020-01-05,Kirk,Software,20.98,20.25
2020-01-05,Kirk,StarGems,1107.6,1065.56
2020-01-05,Kirk,Uranium,480.71,469.08
2020-01-05,Kris,Equipment,7.89,7.68
2020-01-05,Kris,Medicine,37.41,36.13
2020-01-05,Kris,Metals,3.21,3.13
2020-01-05,Kris,Software,20.55,20.15
2020-01-05,Kris,StarGems,1157.94,1137.23
2020-01-05,Kris,Uranium,532.84,518.01
2020-01-05,Quin,Equipment,6.69,6.51
2020-01-05,Quin,Medicine,39.78,39.07
2020-01-05,Quin,Metals,3.13,3.0
2020-01-05,Quin,Software,20.41,19.67
2020-01-05,Quin,StarGems,1008.43,995.31
2020-01-05,Quin,Uranium,471.05,457.66
2020-01-05,Reef,Equipment,7.13,6.86
2020-01-05,Reef,Medicine,41.11,39.64
2020-01-05,Reef,Metals,2.94,2.87
2020-01-05,Reef,Software,20.9,20.19
2020-01-05,Reef,StarGems,1005.21,991.08
2020-01-05,Reef,Uranium,494.78,475.72
2020-01-05,Sand,Equipment,6.92,6.77
2020-01-05,Sand,Medicine,37.47,36.64
2020-01-05,Sand,Metals,2.98,2.92
2020-01-05,Sand,Software,17.98,17.66
2020-01-05,Sand,StarGems,1094.53,1055.62
2020-01-05,Sand,Uranium,438.13,427.27
2020-01-05,Sink,Equipment,6.58,6.39
2020-01-05,Sink,Medicine,39.16,38.35
2020-01-05,Sink,Metals,3.44,3.32
2020-01-05,Sink,Software,20.86,20.29
2020-01-05,Sink,StarGems,1005.53,990.25
2020-01-05,Sink,Uranium,537.57,533.87
2020-01-05,Stan,Equipment,7.25,7.06
2020-01-05,Stan,Medicine,37.92,37.14
2020-01-05,Stan,Metals,3.43,3.34
2020-01-05,Stan,Software,22.76,22.26
2020-01-05,Stan,StarGems,1151.74,1130.91
2020-01-05,Stan,Uranium,511.09,503.18
2020-01-05,Task,Equipment,6.0,5.9
2020-01-05,Task,Medicine,40.04,39.02
2020-01-05,Task,Metals,3.04,2.92
2020-01-05,Task,Software,19.53,18.76
2020-01-05,Task,StarGems,972.91,953.69
2020-01-05,Task,Uranium,505.12,495.17
2020-01-05,York,Equipment,7.3,7.07
2020-01-05,York,Medicine,38.52,37.77
2020-01-05,York,Metals,2.92,2.86
2020-01-05,York,Software,20.62,20.02
2020-01-05,York,StarGems,1113.75,1094.11
2020-01-05,York,Uranium,511.56,501.48
2020-01-06,Sol,Equipment,7.3,6.99
2020-01-06,Sol,Medicine,43.8,42.35
2020-01-06,Sol,Metals,3.61,3.49
2020-01-06,Sol,Software,19.64,19.1
2020-01-06,Sol,StarGems,1135.75,1109.91
2020-01-06,Sol,Uranium,514.91,506.52
2020-01-06,Boyd,Equipment,6.63,6.49
2020-01-06,Boyd,Medicine,39.87,38.76
2020-01-06,Boyd,Metals,3.0,2.93
2020-01-06,Boyd,Software,19.46,19.13
2020-01-06,Boyd,StarGems,1027.41,995.42
2020-01-06,Boyd,Uranium,481.51,463.79
2020-01-06,Fate,Equipment,7.13,6.99
2020-01-06,Fate,Medicine,35.81,34.86
2020-01-06,Fate,Metals,2.87,2.83
2020-01-06,Fate,Software,19.51,18.91
2020-01-06,Fate,StarGems,935.32,910.54
2020-01-06,Fate,Uranium,571.07,553.61
2020-01-06,Gaol,Equipment,7.07,6.9
2020-01-06,Gaol,Medicine,47.03,45.57
2020-01-06,Gaol,Metals,2.9,2.83
2020-01-06,Gaol,Software,22.5,22.1
2020-01-06,Gaol,StarGems,1198.31,1149.38
2020-01-06,Gaol,Uranium,497.42,491.77
2020-01-06,Hook,Equipment,5.64,5.42
2020-01-06,Hook,Medicine,43.52,41.89
2020-01-06,Hook,Metals,3.05,2.99
2020-01-06,Hook,Software,22.19,21.85
2020-01-06,Hook,StarGems,959.98,945.06
2020-01-06,Hook,Uranium,584.23,575.3
2020-01-06,Ivan,Equipment,6.64,6.42
2020-01-06,Ivan,Medicine,37.18,36.43
2020-01-06,Ivan,Metals,3.2,3.08
2020-01-06,Ivan,Software,21.55,21.18
2020-01-06,Ivan,StarGems,1278.14,1246.26
2020-01-06,Ivan,Uranium,537.2,524.69
2020-01-06,Kirk,Equipment,7.41,7.21
2020-01-06,Kirk,Medicine,40.83,39.84
2020-01-06,Kirk,Metals,3.13,3.06
2020-01-06,Kirk,Software,20.25,19.97
2020-01-06,Kirk,StarGems,1054.71,1029.37
2020-01-06,Kirk,Uranium,483.08,469.36
2020-01-06,Kris,Equipment,7.55,7.41
2020-01-06,Kris,Medicine,36.62,35.9
2020-01-06,Kris,Metals,3.23,3.17
2020-01-06,Kris,Software,20.02,19.58
2020-01-06,Kris,StarGems,1165.09,1137.97
2020-01-06,Kris,Uranium,551.63,530.86
2020-01-06,Quin,Equipment,6.67,6.56
2020-01-06,Quin,Medicine,39.92,39.47
2020-01-06,Quin,Metals,3.16,3.05
2020-01-06,Quin,Software,21.01,20.35
2020-01-06,Quin,StarGems,1022.57,998.33
2020-01-06,Quin,Uranium,481.27,468.91
2020-01-06,Reef,Equipment,6.96,6.85
2020-01-06,Reef,Medicine,40.84,39.21
2020-01-06,Reef,Metals,2.96,2.89
2020-01-06,Reef,Software,20.81,19.94
2020-01-06,Reef,StarGems,1004.5,979.72
2020-01-06,Reef,Uranium,479.73,469.94
2020-01-06,Sand,Equipment,6.58,6.46
2020-01-06,Sand,Medicine,37.46,36.71
2020-01-06,Sand,Metals,2.93,2.84
2020-01-06,Sand,Software,18.11,17.63
2020-01-06,Sand,StarGems,1110.54,1086.23
2020-01-06,Sand,Uranium,434.64,422.82
2020-01-06,Sink,Equipment,6.58,6.32
2020-01-06,Sink,Medicine,40.72,39.39
2020-01-06,Sink,Metals,3.44,3.36
2020-01-06,Sink,Software,20.97,20.69
2020-01-06,Sink,StarGems,1007.35,983.21
2020-01-06,Sink,Uranium,555.42,541.86
2020-01-06,Stan,Equipment,7.17,6.96
2020-01-06,Stan,Medicine,37.75,36.64
2020-01-06,Stan,Metals,3.47,3.38
2020-01-06,Stan,Software,22.9,21.99
2020-01-06,Stan,StarGems,1171.04,1148.26
2020-01-06,Stan,Uranium,535.58,527.24
2020-01-06,Task,Equipment,5.92,5.7
2020-01-06,Task,Medicine,38.87,38.43
2020-01-06,Task,Metals,3.04,2.99
2020-01-06,Task,Software,19.08,18.71
2020-01-06,Task,StarGems,1003.76,975.83
2020-01-06,Task,Uranium,491.71,485.16
2020-01-06,York,Equipment,7.25,7.12
2020-01-06,York,Medicine,38.79,37.66
2020-01-06,York,Metals,2.94,2.87
2020-01-06,York,Software,20.89,20.16
2020-01-06,York,StarGems,1098.17,1067.42
2020-01-06,York,Uranium,502.65,490.71
2020-01-07,Sol,Equipment,7.38,7.19
2020-01-07,Sol,Medicine,43.94,42.6
2020-01-07,Sol,Metals,3.56,3.5
2020-01-07,Sol,Software,19.81,19.08
2020-01-07,Sol,StarGems,1139.37,1117.82
2020-01-07,Sol,Uranium,509.83,494.81
2020-01-07,Boyd,Equipment,6.56,6.36
2020-01-07,Boyd,Medicine,40.69,39.77
2020-01-07,Boyd,Metals,3.01,2.94
2020-01-07,Boyd,Software,20.04,19.45
2020-01-07,Boyd,StarGems,996.73,983.36
2020-01-07,Boyd,Uranium,483.55,476.56
2020-01-07,Fate,Equipment,7.26,7.04
2020-01-07,Fate,Medicine,36.62,35.2
2020-01-07,Fate,Metals,2.93,2.86
2020-01-07,Fate,Software,19.27,18.61
2020-01-07,Fate,StarGems,914.44,876.56
2020-01-07,Fate,Uranium,563.36,541.71
2020-01-07,Gaol,Equipment,7.34,7.13
2020-01-07,Gaol,Medicine,47.81,46.75
2020-01-07,Gaol,Metals,2.94,2.81
2020-01-07,Gaol,Software,22.61,21.97
2020-01-07,Gaol,StarGems,1213.92,1173.21
2020-01-07,Gaol,Uranium,497.2,490.11
2020-01-07,Hook,Equipment,5.43,5.28
2020-01-07,Hook,Medicine,44.26,42.95
2020-01-07,Hook,Metals,3.09,3.02
2020-01-07,Hook,Software,21.42,20.75
2020-01-07,Hook,StarGems,955.4,939.14
2020-01-07,Hook,Uranium,593.67,576.95
2020-01-07,Ivan,Equipment,6.66,6.49
2020-01-07,Ivan,Medicine,37.71,36.54
2020-01-07,Ivan,Metals,3.14,3.04
2020-01-07,Ivan,Software,21.66,21.13
2020-01-07,Ivan,StarGems,1292.68,1253.61
2020-01-07,Ivan,Uranium,534.75,521.88
2020-01-07,Kirk,Equipment,7.35,7.16
2020-01-07,Kirk,Medicine,42.03,40.84
2020-01-07,Kirk,Metals,3.14,3.0
2020-01-07,Kirk,Software,20.52,19.83
2020-01-07,Kirk,StarGems,1014.81,987.55
2020-01-07,Kirk,Uranium,491.15,474.44
2020-01-07,Kris,Equipment,7.79,7.54
2020-01-07,Kris,Medicine,37.25,36.29
2020-01-07,Kris,Metals,3.28,3.23
2020-01-07,Kris,Software,20.51,19.75
